,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,350,151,ELECCIONES PASO 13/08/2017,644
1,Votantes :,76.00 %,151,ELECCIONES PASO 13/08/2017,644
0,Total Inscriptos :,195,152,ELECCIONES PASO 13/08/2017,644
1,Votantes :,72.82 %,152,ELECCIONES PASO 13/08/2017,644
0,Total Inscriptos :,199,153,ELECCIONES PASO 13/08/2017,645
1,Votantes :,70.35 %,153,ELECCIONES PASO 13/08/2017,645
0,Total Inscriptos :,176,154,ELECCIONES PASO 13/08/2017,646
1,Votantes :,61.93 %,154,ELECCIONES PASO 13/08/2017,646
0,Total Inscriptos :,176,155,ELECCIONES PASO 13/08/2017,646
1,Votantes :,67.05 %,155,ELECCIONES PASO 13/08/2017,646
0,Total Inscriptos :,157,156,ELECCIONES PASO 13/08/2017,647
1,Votantes :,78.98 %,156,ELECCIONES PASO 13/08/2017,647
0,Total Inscriptos :,200,157,ELECCIONES PASO 13/08/2017,648
1,Votantes :,79.00 %,157,ELECCIONES PASO 13/08/2017,648
