,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
10,,,TOTALES,274.0,274.0,274.0,274,63,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,20.0,18.0,18.0,18,64,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,56.0,55.0,55.0,65,64,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,172.0,173.0,172.0,165,64,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,12.0,11.0,13,64,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,14.0,15.0,16.0,12,64,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,64,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,3.0,3.0,3.0,3,64,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,64,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,64,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,6.0,7.0,4,64,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,282.0,282.0,282.0,282,64,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,27.0,27.0,20,65,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,64.0,61.0,62.0,59,65,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,170.0,172.0,172.0,178,65,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,8.0,7.0,10,65,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,9.0,8.0,6,65,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,65,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,6.0,6.0,6.0,6,65,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,65,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,65,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,7.0,8.0,9,65,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,290.0,290.0,290.0,290,65,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,28.0,30.0,26,66,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,73.0,72.0,72.0,75,66,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,167.0,167.0,165.0,160,66,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,8.0,7.0,9,66,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,10.0,11,66,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,7,66,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,5.0,5.0,5.0,5,66,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,66,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,66,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,1.0,4.0,6.0,2,66,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,295.0,295.0,295.0,295,66,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,25.0,23.0,23.0,16,67,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,73.0,69.0,70.0,70,67,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,153.0,156.0,155.0,161,67,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,8.0,7.0,7.0,7,67,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,12.0,12.0,9,67,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,67,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,3,67,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,67,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,67,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,6.0,6.0,6,67,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,275.0,275.0,275.0,275,67,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,24.0,22.0,20.0,18,68,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,66.0,64.0,66.0,69,68,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,150.0,151.0,152.0,150,68,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,11.0,10.0,9,68,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,12.0,12.0,10,68,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,68,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,5.0,5.0,5.0,5,68,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,68,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,68,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,5.0,5.0,5,68,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,270.0,270.0,270.0,270,68,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,24.0,23.0,24.0,20,69,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,64.0,62.0,63.0,72,69,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,154.0,155.0,156.0,150,69,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,16.0,15.0,16,69,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,15.0,16.0,14.0,10,69,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,69,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,1,69,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,69,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,69,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,5.0,5.0,5,69,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,277.0,277.0,277.0,277,69,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,25.0,23.0,23.0,22,70,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,74.0,73.0,73.0,74,70,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,136.0,135.0,137.0,136,70,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,13.0,12.0,14,70,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,9.0,7.0,6,70,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,70,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,70,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,70,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,70,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,8.0,9.0,7,70,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,261.0,261.0,261.0,261,70,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,18.0,18.0,16.0,14,71,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,55.0,54.0,54.0,56,71,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,185.0,185.0,186.0,181,71,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,10.0,10.0,15,71,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,13.0,13.0,13.0,12,71,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,71,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,71,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,71,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,71,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,4.0,5.0,4,71,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,284.0,284.0,284.0,284,71,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,19.0,20.0,17.0,16,72,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,66.0,64.0,65.0,77,72,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,116.0,118.0,117.0,117,72,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,20.0,14.0,13.0,9,72,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,9.0,9.0,7,72,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,72,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,3.0,3,72,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,72,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,72,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,2.0,7.0,10.0,4,72,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,234.0,234.0,234.0,234,72,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,42.0,38.0,38.0,35,73,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,113.0,111.0,110.0,116,73,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,85.0,85.0,85.0,85,73,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,19.0,18.0,18.0,15,73,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,13.0,13.0,13.0,13,73,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,73,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,1.0,1.0,1.0,1,73,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,73,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,73,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,7.0,14.0,15.0,10,73,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,280.0,280.0,280.0,280,73,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,34.0,33.0,33.0,36,74,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,126.0,122.0,122.0,119,74,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,98.0,98.0,98.0,103,74,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,18.0,18.0,18.0,17,74,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,10.0,10.0,8,74,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,8,74,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,0.0,0.0,0.0,0,74,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,74,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,74,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,9.0,13.0,13.0,3,74,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,294.0,294.0,294.0,294,74,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,28.0,29.0,27.0,26,75,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,134.0,132.0,132.0,136,75,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,89.0,91.0,93.0,93,75,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,11.0,10.0,9,75,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,8.0,9.0,9.0,7,75,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,75,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,1.0,1.0,1.0,1,75,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,1.0,1.0,1.0,1,75,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,75,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,7.0,6.0,7.0,5,75,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,280.0,280.0,280.0,280,75,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,33.0,29.0,29.0,30,76,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,105.0,105.0,107.0,113,76,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,112.0,113.0,110.0,104,76,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,19.0,17.0,17.0,19,76,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,5.0,6.0,6.0,3,76,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,76,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,0.0,0.0,0.0,2,76,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,76,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,76,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,10.0,14.0,15.0,9,76,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,284.0,284.0,284.0,284,76,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,31.0,29.0,29.0,24,77,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,121.0,119.0,118.0,124,77,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,106.0,106.0,108.0,103,77,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,20.0,19.0,19.0,19,77,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,5.0,6.0,4.0,5,77,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,6,77,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,3.0,3.0,3.0,3,77,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,1.0,1.0,1.0,1,77,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,77,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,5.0,9.0,10.0,7,77,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,292.0,292.0,292.0,292,77,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,30.0,27.0,26.0,27,78,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,124.0,125.0,125.0,128,78,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,87.0,87.0,88.0,88,78,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,19.0,17.0,17.0,18,78,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,8.0,8.0,8.0,8,78,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,78,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,1.0,1.0,1.0,1,78,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,78,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,78,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,12.0,16.0,16.0,6,78,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,281.0,281.0,281.0,281,78,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,27.0,26.0,26.0,22,79,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,139.0,136.0,138.0,146,79,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,85.0,85.0,84.0,80,79,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,11.0,11.0,12,79,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,9.0,9.0,10,79,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,79,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,1.0,1.0,1.0,1,79,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,79,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,79,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,9.0,14.0,13.0,9,79,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,282.0,282.0,282.0,282,79,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,33.0,30.0,30.0,27,80,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,96.0,92.0,92.0,95,80,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,112.0,114.0,114.0,117,80,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,21.0,20.0,21.0,19,80,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,11.0,10.0,10,80,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,9,80,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,6.0,6.0,6.0,6,80,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,1.0,1.0,1.0,1,80,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,80,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,7.0,12.0,12.0,2,80,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,286.0,286.0,286.0,286,80,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,28.0,28.0,28.0,25,81,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,116.0,115.0,115.0,113,81,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,80.0,81.0,83.0,84,81,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,18.0,15.0,15.0,17,81,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,7.0,7.0,7,81,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,7,81,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,9.0,8.0,8.0,9,81,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,81,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,81,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,14.0,18.0,16.0,10,81,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,272.0,272.0,272.0,272,81,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,36.0,34.0,34.0,31,82,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,112.0,109.0,108.0,115,82,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,94.0,95.0,94.0,89,82,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,13.0,12.0,12.0,12,82,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,12.0,12.0,11,82,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,82,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,5.0,5.0,5.0,6,82,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,82,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,82,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,6.0,11.0,13.0,10,82,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,278.0,278.0,278.0,278,82,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,33.0,31.0,30.0,30,83,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,116.0,115.0,115.0,117,83,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,94.0,94.0,94.0,89,83,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,21.0,19.0,19.0,18,83,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,5.0,7.0,6.0,7,83,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,83,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,2.0,2.0,2.0,2,83,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,83,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,83,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,5.0,8.0,10.0,10,83,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,276.0,276.0,276.0,276,83,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,38.0,38.0,37.0,34,84,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,117.0,118.0,118.0,125,84,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,91.0,91.0,91.0,87,84,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,11.0,11.0,10.0,9,84,ELECCIONES GENERALES 22/10/2017,639
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,10.0,9.0,9,84,ELECCIONES GENERALES 22/10/2017,639
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,84,ELECCIONES GENERALES 22/10/2017,639
6,,,VOTOS NULOS,5.0,5.0,5.0,5,84,ELECCIONES GENERALES 22/10/2017,639
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,84,ELECCIONES GENERALES 22/10/2017,639
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,84,ELECCIONES GENERALES 22/10/2017,639
9,,,VOTOS EN BLANCO,3.0,3.0,6.0,5,84,ELECCIONES GENERALES 22/10/2017,639
10,,,TOTALES,276.0,276.0,276.0,276,84,ELECCIONES GENERALES 22/10/2017,639
0,501.0,,1PAIS,29.0,26.0,26.0,26,85,ELECCIONES GENERALES 22/10/2017,639
1,503.0,,UNIDAD CIUDADANA,122.0,124.0,124.0,127,85,ELECCIONES GENERALES 22/10/2017,639
2,508.0,,CAMBIEMOS BUENOS AIRES,80.0,80.0,80.0,76,85,ELECCIONES GENERALES 22/10/2017,639
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,27.0,28.0,29.0,29,85,ELECCIONES GENERALES 22/10/2017,639
