,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
9,,,VOTOS EN BLANCO,5.0,10.0,12.0,14,18,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,286.0,286.0,286.0,286,18,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,24.0,24.0,23.0,19,19,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,60.0,58.0,58.0,65,19,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,167.0,168.0,168.0,173,19,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,10.0,10.0,8,19,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,5.0,7.0,7.0,7,19,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,0,19,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,7.0,6.0,6.0,6,19,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,19,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,19,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,9.0,9.0,10.0,4,19,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,282.0,282.0,282.0,282,19,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,27.0,26.0,21,20,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,67.0,65.0,66.0,74,20,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,155.0,156.0,158.0,153,20,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,16.0,14.0,13,20,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,9.0,9.0,9,20,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,20,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,20,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,20,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,20,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,9.0,9.0,7,20,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,282.0,282.0,282.0,282,20,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,16.0,15.0,15.0,14,21,ELECCIONES GENERALES 22/10/2017,638
